sku,name,lang,type,path,version,updated,status
SPK-ROOT-RDM-NA-001,仓库维护说明,NA,仓库根文件,README.md,1.0.0,2026-09-11,在库
SPK-ROOT-PKG-NA-001,包配置,NA,仓库根文件,package.json,1.0.0,2026-09-11,在库
SPK-ROOT-PKG-NA-002,依赖锁文件,NA,仓库根文件,package-lock.json,1.0.0,2026-09-11,在库
SPK-ROOT-GIT-NA-001,忽略规则,NA,仓库根文件,.gitignore,1.0.0,2026-09-11,在库
SPK-ROOT-CI-WF-NA-001,构建部署工作流,NA,仓库根文件,.github/workflows/deploy-docs.yml,1.0.0,2026-09-11,在库
SPK-ROOT-LAN-LAN-NA-001,语言选择落地页,NA,仓库根文件,docs/index.md,1.0.0,2026-09-11,在库
SPK-CFG-CFG-CFG-NA-001,站点配置,NA,站点配置,docs/.vitepress/config.mts,1.0.0,2026-09-11,在库
SPK-CFG-THE-THE-NA-001,主题入口,NA,站点配置,docs/.vitepress/theme/index.ts,1.0.0,2026-09-11,在库
SPK-CFG-THE-THE-NA-002,主题样式,NA,站点配置,docs/.vitepress/theme/custom.css,1.0.0,2026-09-11,在库
SPK-DOC-IDX-IDX-ZH-001,总索引（首页）,ZH,文档页,docs/zh/index.md,1.0.0,2026-09-11,在库
SPK-DOC-IDX-IDX-EN-001,总索引（首页）,EN,文档页,docs/en/index.md,1.0.0,2026-09-11,在库
SPK-DOC-OVR-OVR-ZH-001,系统总览,ZH,文档页,docs/zh/appendix/system-overview.md,1.0.0,2026-09-11,在库
SPK-DOC-OVR-OVR-EN-001,系统总览,EN,文档页,docs/en/appendix/system-overview.md,1.0.0,2026-09-11,在库
SPK-DOC-SLM-IDX-ZH-001,SLAM 模块索引,ZH,文档页,docs/zh/slam/index.md,1.0.0,2026-09-11,在库
SPK-DOC-SLM-CLI-ZH-001,SLAM 命令行使用,ZH,文档页,docs/zh/slam/commandline.md,1.0.0,2026-09-11,在库
SPK-DOC-SLM-DKR-ZH-001,SLAM Docker 编译,ZH,文档页,docs/zh/slam/docker-build.md,1.0.0,2026-09-11,在库
SPK-DOC-SLM-ARC-ZH-001,SLAM 源码架构,ZH,文档页,docs/zh/slam/architecture.md,1.0.0,2026-09-11,在库
SPK-DOC-SLM-IDX-EN-001,SLAM 模块索引,EN,文档页,docs/en/slam/index.md,1.0.0,2026-09-11,在库
SPK-DOC-SLM-CLI-EN-001,SLAM 命令行使用,EN,文档页,docs/en/slam/commandline.md,1.0.0,2026-09-11,在库
SPK-DOC-SLM-DKR-EN-001,SLAM Docker 编译,EN,文档页,docs/en/slam/docker-build.md,1.0.0,2026-09-11,在库
SPK-DOC-SLM-ARC-EN-001,SLAM 源码架构,EN,文档页,docs/en/slam/architecture.md,1.0.0,2026-09-11,在库
SPK-DOC-PGO-IDX-ZH-001,PGOBA 模块索引,ZH,文档页,docs/zh/pgoba/index.md,1.0.0,2026-09-11,在库
SPK-DOC-PGO-CLI-ZH-001,PGOBA 命令行使用,ZH,文档页,docs/zh/pgoba/commandline.md,1.0.0,2026-09-11,在库
